type,name,damage,element_buildup,element_type,affinity_mod,defense_mod,special,skills,level_1_decoration_slots,level_2_decoration_slots,level_3_decoration_slots,sharpness_base_red,sharpness_base_orange,sharpness_base_yellow,sharpness_base_green,sharpness_base_blue,sharpness_base_white,sharpness_base_purple,sharpness_max_red,sharpness_max_orange,sharpness_max_yellow,sharpness_max_green,sharpness_max_blue,sharpness_max_white,sharpness_max_purple
Great Sword,Bone Blade II,130,0,N/A,0,0,,"Focus +1,Attack Boost +1",0,0,0,10,14,16,0,0,0,0,10,14,20,6,0,0,0
Great Sword,Bone Blade III,170,0,N/A,0,0,,"Focus +2,Attack Boost +1",1,0,0,10,18,20,2,0,0,0,10,18,20,12,0,0,0
Great Sword,Bone Blade IV,200,0,N/A,0,0,,"Focus +3,Attack Boost +1",2,1,0,10,16,18,16,0,0,0,10,16,18,26,0,0,0
Great Sword,Bone Slasher,230,0,N/A,0,0,,"Focus +3,Attack Boost +1",3,2,1,10,16,16,12,16,0,0,10,16,16,12,26,0,0
Great Sword,Nu Krake I,170,27,Fire,-15,0,,"Protective Polish +2,Speed Sharpening +1",1,0,0,20,4,20,6,0,0,0,20,4,20,16,0,0,0
Great Sword,Nu Krake II,210,37,Fire,-15,0,,"Protective Polish +2,Speed Sharpening +2",3,2,0,20,4,24,14,8,0,0,20,4,24,14,18,0,0
Great Sword,Abaddonian Krake,230,40,Fire,-15,0,,"Protective Polish +3,Speed Sharpening +2",3,2,1,20,4,24,10,10,2,0,20,4,24,10,10,12,0
Great Sword,Slaughter I,180,41,Poison,0,0,,"Critical Draw +1,Punishing Draw +1",2,1,0,18,10,24,8,0,0,0,18,10,24,18,0,0,0
Great Sword,Slaughter II,200,44,Poison,0,0,,"Critical Draw +2,Punishing Draw +1",2,1,0,18,10,16,14,2,0,0,18,10,16,14,12,0,0
Great Sword,Poison King,230,50,Poison,0,0,,"Critical Draw +2,Punishing Draw +2",3,2,1,18,10,22,14,6,0,0,18,10,22,14,16,0,0
Great Sword,Dosha Fellslayer I,140,0,N/A,-10,20,,Punishing Draw +1,0,0,0,10,18,12,0,0,0,0,10,18,16,6,0,0,0
Great Sword,Dosha Fellslayer II,180,0,N/A,-10,20,,Punishing Draw +2,1,0,0,14,18,16,2,0,0,0,14,18,16,12,0,0,0
Great Sword,Dosha Fellslayer III,210,0,N/A,-10,20,,Punishing Draw +3,2,1,0,10,20,28,10,2,0,0,10,20,28,10,12,0,0
Great Sword,Dosha Grimslayer I,180,0,N/A,-20,0,,Focus +1,1,1,0,10,14,24,2,0,0,0,10,14,24,12,0,0,0
Great Sword,Dosha Grimslayer II,220,0,N/A,-20,0,,Focus +2,2,1,1,10,22,22,6,0,0,0,10,22,22,16,0,0,0
Great Sword,Grimslayer Urgeom,250,0,N/A,-20,0,,Focus +2,3,3,1,10,14,20,20,6,0,0,10,14,20,20,10,6,0
Great Sword,Smiting Fulgur I,180,44,Lightning,+15,0,,Critical Element +2,2,1,0,8,20,26,6,0,0,0,8,20,26,8,8,0,0
Great Sword,Fulgurcleaver Guardiana,210,50,Lightning,+15,0,,Critical Element +3,3,2,1,8,18,24,14,6,0,0,8,18,24,14,6,10,0
Great Sword,G. Veldian Gladius I,170,20,Dragon,-10,0,,Focus +2,1,1,0,20,10,18,2,0,0,0,20,10,18,12,0,0,0
Great Sword,G. Veldian Gladius II,210,26,Dragon,-10,0,,Focus +2,2,2,0,20,16,18,6,0,0,0,20,16,18,10,6,0,0
Great Sword,G. Stalwart Lamorak,240,30,Dragon,-10,0,,Focus +2,3,3,1,20,18,10,16,6,0,0,20,18,10,16,10,6,0
Great Sword,Veldian Gladius I,200,47,Dragon,0,0,,Focus +3,3,2,0,10,10,10,24,14,2,0,10,10,10,24,14,12,0
Great Sword,Frozen Speartuna I,150,50,Ice,0,0,,Punishing Draw +3,0,0,0,10,18,18,4,0,0,0,10,18,18,14,0,0,0
Great Sword,Frozen Speartuna II,180,60,Ice,0,0,,"Punishing Draw +3,Slugger +1",2,0,0,10,18,22,10,0,0,0,10,18,22,20,0,0,0
Great Sword,Freezer Speartuna,220,70,Ice,0,0,,"Punishing Draw +3,Slugger +2",3,2,0,10,10,18,22,10,0,0,10,10,18,22,20,0,0
Great Sword,Paretic Blade I,90,25,Paralysis,0,0,,Speed Sharpening +1,0,0,0,10,14,16,0,0,0,0,10,14,26,0,0,0,0
Great Sword,Paretic Blade II,120,31,Paralysis,0,0,,Speed Sharpening +2,0,0,0,12,16,20,2,0,0,0,12,16,20,12,0,0,0
Great Sword,Paretic Blade III,150,41,Paralysis,0,0,,Speed Sharpening +2,2,1,1,14,16,20,10,0,0,0,14,16,20,20,0,0,0
Great Sword,Paretic Blade IV,180,47,Paralysis,0,0,,Speed Sharpening +2,3,2,1,10,12,16,20,2,0,0,10,12,16,20,6,6,0
Great Sword,Destructive Torpor,200,50,Paralysis,0,0,,Speed Sharpening +2,3,3,1,10,12,20,22,6,0,0,10,12,20,22,6,10,0
Great Sword,Artian Blade I,170,30,N/A,+5,0,,,2,2,2,16,8,12,16,8,0,0,16,8,12,16,12,6,0
Great Sword,Artian Blade II,180,30,N/A,+5,0,,,2,2,2,16,8,12,16,14,4,0,16,8,12,16,14,14,0
Great Sword,Varianza,190,45,N/A,+5,0,,,3,3,3,16,8,12,16,14,4,0,16,8,12,16,14,14,0
Great Sword,Esperanza Blade,210,0,N/A,0,0,,"Speed Sharpening +2,Critical Eye +2",3,2,1,10,12,16,12,8,12,0,10,12,16,12,8,22,0
Great Sword,Fellslayer Dangeom,240,0,N/A,-10,20,,Punishing Draw +3,3,2,1,10,20,26,10,4,0,0,10,20,26,10,6,8,0
Great Sword,Stalwart Lamorak,220,50,Dragon,0,0,,Focus +3,3,2,1,10,10,10,18,16,6,0,10,10,10,18,16,16,0
Great Sword,Jawblade I,200,0,N/A,0,0,,"Focus +2,Protective Polish +2",2,1,0,10,18,22,10,0,0,0,10,18,22,18,2,0,0
Great Sword,Giant Jawblade,240,0,N/A,0,0,,"Focus +2,Protective Polish +2",3,2,1,10,20,24,10,6,0,0,10,20,24,10,14,2,0
Sword & Shield,Hope Sword I,90,0,N/A,0,0,,,0,0,0,10,10,8,12,0,0,0,10,10,8,22,0,0,0
Sword & Shield,Hope Sword II,100,0,N/A,0,0,,Speed Sharpening +1,0,0,0,8,10,8,14,0,0,0,8,10,8,24,0,0,0
Sword & Shield,Hope Sword III,130,0,N/A,0,0,,"Speed Sharpening +1,Critical Eye +1",0,0,0,10,12,10,18,0,0,0,10,12,10,28,0,0,0
Sword & Shield,Hope Sword IV,160,0,N/A,0,0,,"Speed Sharpening +2,Critical Eye +1",2,1,0,10,12,12,14,12,0,0,10,12,12,14,22,0,0
Sword & Shield,Hope Sword V,190,0,N/A,0,0,,"Speed Sharpening +2,Critical Eye +1",3,2,0,10,12,10,14,12,12,0,10,12,10,14,12,22,0
Sword & Shield,Rey Kuara I,140,12,Lightning,0,0,,"Guard +1,Offensive Guard +1",0,0,0,2,2,28,18,0,0,0,2,2,28,28,0,0,0
Sword & Shield,Rey Kuara II,170,15,Lightning,0,0,,"Guard +1,Offensive Guard +1",2,1,0,2,2,24,20,12,0,0,2,2,24,20,22,0,0
Sword & Shield,Rey Kuara III,200,17,Lightning,0,0,,"Guard +2,Offensive Guard +1",3,2,0,2,2,22,16,16,12,0,2,2,22,16,16,22,0
Sword & Shield,Kuara Clairsword,220,20,Lightning,0,0,,"Guard +2,Offensive Guard +1",3,2,1,2,2,20,14,14,18,0,2,2,20,14,14,28,0
Sword & Shield,Sucher-Ankh I,180,16,Dragon,+20,0,,Critical Element +3,3,2,0,10,16,16,12,6,10,0,10,16,16,12,6,20,0
Sword & Shield,Jäger-Ankh,210,20,Dragon,+20,0,,Critical Element +3,3,2,1,10,10,18,10,6,16,0,10,10,18,10,6,26,0
Sword & Shield,Barina Dague I,100,10,Paralysis,+10,0,,Critical Draw +1,0,0,0,10,8,8,14,0,0,0,10,8,8,24,0,0,0
Sword & Shield,Barina Dague II,120,12,Paralysis,+10,0,,"Critical Draw +1,Critical Status +1",0,0,0,14,8,6,22,0,0,0,14,8,6,32,0,0,0
Sword & Shield,Barina Dague III,150,15,Paralysis,+15,0,,"Critical Draw +1,Critical Status +1",2,1,0,14,8,6,20,12,0,0,14,8,6,20,22,0,0
Sword & Shield,Barina Dague IV,180,17,Paralysis,+15,0,,"Critical Draw +2,Critical Status +1",3,2,0,14,8,6,18,12,12,0,14,8,6,18,12,22,0
Sword & Shield,Lala Acanthopelm,200,20,Paralysis,+15,0,,"Critical Draw +2,Critical Status +1",3,2,1,14,8,6,12,8,22,0,14,8,6,12,8,32,0
Sword & Shield,Quematrice Cuchillo I,100,10,Fire,+5,0,,Offensive Guard +1,0,0,0,10,14,8,8,0,0,0,10,14,8,18,0,0,0
Sword & Shield,Quematrice Cuchillo II,140,12,Fire,+5,0,,Offensive Guard +2,0,0,0,10,16,10,14,0,0,0,10,16,10,24,0,0,0
Sword & Shield,Quematrice Cuchillo III,170,14,Fire,+5,0,,Offensive Guard +2,2,1,0,14,16,14,10,6,0,0,14,16,14,10,16,0,0
Sword & Shield,Quematrice Cuchillo IV,210,16,Fire,+5,0,,Offensive Guard +3,3,2,0,14,16,14,16,10,0,0,14,16,14,16,20,0,0
Sword & Shield,Firetrail Fornax,240,18,Fire,+5,0,,Offensive Guard +3,3,2,1,12,14,14,16,14,0,0,12,14,14,16,24,0,0
Sword & Shield,Gravios Syphos I,210,19,Blast,-15,30,,Guard Up +3,2,2,0,18,14,16,12,0,0,0,18,14,16,18,4,0,0
Sword & Shield,Titan's Armament,240,25,Blast,-15,30,,Guard Up +3,3,3,1,16,14,14,14,12,0,0,16,14,14,14,22,0,0
Sword & Shield,Iron Beater I,120,0,N/A,0,0,,Guard +1,0,0,0,4,8,18,10,0,0,0,4,8,18,20,0,0,0
Sword & Shield,Iron Beater II,160,0,N/A,0,0,,Guard +2,1,0,0,4,12,18,16,0,0,0,4,12,18,26,0,0,0
Sword & Shield,Iron Beater III,190,0,N/A,0,0,,Guard +3,2,1,0,4,14,18,12,12,0,0,4,14,18,12,22,0,0
Sword & Shield,Smithy's Pride,220,0,N/A,0,0,,Guard +3,3,2,1,4,12,18,14,10,12,0,4,12,18,14,10,22,0
Sword & Shield,Jin Dhaklab I,190,32,Ice,0,0,,Guard +3,3,2,0,8,8,6,20,22,6,0,8,8,6,20,22,16,0
Sword & Shield,Precipice Mateptro,210,35,Ice,0,0,,Guard +3,3,2,1,8,8,4,16,24,10,0,8,8,4,16,24,20,0
Sword & Shield,Albirath Edge I,160,12,Fire,+15,0,,"Master's Touch +1,Critical Element +1",1,0,0,10,18,12,10,0,0,0,10,18,12,20,0,0,0
Sword & Shield,Albirath Edge II,180,17,Fire,+15,0,,"Master's Touch +1,Critical Element +1",2,1,0,10,20,10,10,10,0,0,10,20,10,10,14,6,0
Sword & Shield,Melting Point,210,20,Fire,+15,0,,"Master's Touch +1,Critical Element +1",3,2,1,10,26,10,10,8,6,0,10,26,10,10,8,16,0
Sword & Shield,Heat Edge I,180,21,Fire,+10,0,,Critical Boost +3,2,1,0,20,14,8,6,12,0,0,20,14,8,6,22,0,0
Sword & Shield,Corona,200,25,Fire,+10,0,,Critical Boost +3,3,2,1,20,14,10,8,8,10,0,20,14,10,8,8,20,0
Sword & Shield,Princess Rapier I,160,12,Poison,+15,0,,"Critical Status +2,Poison Duration Up +1",2,1,0,10,14,8,18,10,0,0,10,14,8,18,20,0,0
Sword & Shield,Princess Rapier II,190,15,Poison,+15,0,,"Critical Status +3,Poison Duration Up +1",3,2,0,8,16,8,22,6,10,0,8,16,8,22,6,20,0
Sword & Shield,Queen Rapier,210,18,Poison,+15,0,,"Critical Status +3,Poison Duration Up +1",3,2,1,8,16,6,20,6,14,0,8,16,6,20,6,24,0
Sword & Shield,Scaly Sword I,120,12,Sleep,+10,0,,Guard +2,0,0,0,14,8,6,22,0,0,0,14,8,6,32,0,0,0
Sword & Shield,Scaly Sword II,150,15,Sleep,+15,0,,Guard +2,2,1,0,14,8,6,20,12,0,0,14,8,6,20,22,0,0
Sword & Shield,Scaly Sword III,180,17,Sleep,+15,0,,Guard +3,3,2,0,14,8,6,18,12,12,0,14,8,6,18,12,22,0
Sword & Shield,Nerskiller,200,20,Sleep,+15,0,,Guard +3,3,2,1,14,8,6,12,8,22,0,14,8,6,12,8,32,0
Sword & Shield,Balahara Blade I,110,10,Water,+10,0,,Offensive Guard +1,0,0,0,6,6,18,10,0,0,0,6,6,18,20,0,0,0
Sword & Shield,Balahara Blade II,150,12,Water,+10,0,,Offensive Guard +2,1,0,0,8,6,20,16,0,0,0,8,6,20,26,0,0,0
Sword & Shield,Balahara Blade III,160,15,Water,+10,0,,Offensive Guard +2,2,1,0,6,6,22,18,8,0,0,6,6,22,18,18,0,0
Sword & Shield,Balahara Blade IV,190,17,Water,+10,0,,Offensive Guard +3,3,2,0,6,6,22,18,14,4,0,6,6,22,18,14,14,0
Sword & Shield,Sandsea Katduva,210,20,Water,+10,0,,Offensive Guard +3,3,2,1,6,6,20,16,14,8,0,6,6,20,16,14,18,0
Sword & Shield,Bone Kukri I,110,0,N/A,0,0,,Stamina Thief +1,0,0,0,10,14,16,0,0,0,0,10,14,24,2,0,0,0
Sword & Shield,Bone Kukri II,130,0,N/A,0,0,,"Stamina Thief +1,Attack Boost +1",0,0,0,10,8,22,0,0,0,0,10,8,26,6,0,0,0
Sword & Shield,Bone Kukri III,170,0,N/A,0,0,,"Stamina Thief +2,Attack Boost +1",1,0,0,10,12,20,8,0,0,0,10,12,20,18,0,0,0
Sword & Shield,Bone Kukri IV,200,0,N/A,0,0,,"Stamina Thief +3,Attack Boost +1",2,1,0,10,12,16,22,0,0,0,10,12,16,32,0,0,0
Sword & Shield,Chief Kukri,230,0,N/A,0,0,,"Stamina Thief +3,Attack Boost +1",3,2,1,10,12,12,14,22,0,0,10,12,12,14,32,0,0
Sword & Shield,Rending Fulgur I,180,21,Lightning,+15,0,,Critical Element +3,2,1,0,8,20,20,12,0,0,0,8,20,20,14,8,0,0
Sword & Shield,Fulgursword Guardiana,210,25,Lightning,+15,0,,Critical Element +3,3,2,1,8,18,24,8,12,0,0,8,18,24,8,12,10,0
Sword & Shield,Venom's Pain I,180,16,Poison,0,0,,"Punishing Draw +2,Critical Draw +1",2,1,0,18,10,18,14,0,0,0,18,10,18,24,0,0,0
Sword & Shield,Venom's Pain II,200,19,Poison,0,0,,"Punishing Draw +2,Critical Draw +2",2,1,0,18,10,12,12,8,0,0,18,10,12,12,18,0,0
Sword & Shield,Viperine Saber,230,25,Poison,0,0,,"Punishing Draw +3,Critical Draw +2",3,3,1,18,10,18,12,12,0,0,18,10,18,12,22,0,0
Sword & Shield,Ajara Saber I,130,12,Blast,+10,0,,Offensive Guard +2,0,0,0,10,12,14,14,0,0,0,10,12,14,24,0,0,0
Sword & Shield,Ajara Saber II,180,15,Blast,+10,0,,Offensive Guard +3,2,1,0,10,12,18,8,12,0,0,10,12,18,8,22,0,0
Sword & Shield,Ajara-Subinda,210,18,Blast,+10,0,,Offensive Guard +3,3,2,1,10,12,10,18,8,12,0,10,12,10,18,8,22,0
Sword & Shield,Snow-white Jambiya I,200,14,Ice,-10,0,,"Critical Draw +2,Offensive Guard +1",2,1,0,10,6,18,16,10,0,0,10,6,18,16,20,0,0
Sword & Shield,Snow Lion Jambiya,230,18,Ice,-10,0,,"Critical Draw +2,Offensive Guard +1",3,2,1,10,6,18,16,10,10,0,10,6,18,16,10,20,0
Sword & Shield,Chata Club I,110,0,N/A,0,15,,Guard +1,0,0,0,10,2,22,6,0,0,0,10,2,22,16,0,0,0
Sword & Shield,Chata Club II,150,0,N/A,0,15,,Guard +2,0,0,0,16,2,24,8,0,0,0,16,2,24,18,0,0,0
Sword & Shield,Chata Club III,180,0,N/A,0,15,,Guard +2,2,1,0,14,4,22,16,4,0,0,14,4,22,16,14,0,0
Sword & Shield,Chata Club IV,210,0,N/A,0,15,,"Guard +2,Guard Up +1",3,2,0,12,2,22,22,12,0,0,12,2,22,22,22,0,0
Sword & Shield,Nihil Sword I,160,12,Water,0,0,,Guard +2,1,0,0,4,22,8,16,0,0,0,4,22,8,26,0,0,0
Sword & Shield,Nihil Sword II,190,15,Water,0,0,,Guard +3,2,1,0,4,22,10,12,12,0,0,4,22,10,12,22,0,0
Sword & Shield,Cordayle's Revocation,220,18,Water,0,0,,Guard +3,3,2,1,4,22,10,10,8,16,0,4,22,10,10,8,26,0
Sword & Shield,G. Veldian Mucro I,170,12,Dragon,-10,0,,Guard +2,1,1,0,20,6,16,8,0,0,0,20,6,16,18,0,0,0
Sword & Shield,G. Veldian Mucro II,210,15,Dragon,-10,0,,Guard +2,2,2,0,20,12,16,12,0,0,0,20,12,16,14,8,0,0
Sword & Shield,G. Guiding Artorius,240,18,Dragon,-10,0,,Guard +2,3,3,1,20,14,10,14,12,0,0,20,14,10,14,14,8,0
Sword & Shield,Veldian Mucro I,200,22,Dragon,0,0,,Guard +3,3,2,0,10,14,16,14,8,8,0,10,14,16,14,8,18,0
Sword & Shield,Artian Sword I,170,23,N/A,+5,0,,,2,2,2,16,8,12,16,8,0,0,16,8,12,16,12,6,0
Sword & Shield,Artian Sword II,180,23,N/A,+5,0,,,2,2,2,16,8,12,16,14,4,0,16,8,12,16,14,14,0
Sword & Shield,Verdoloto,190,26,N/A,+5,0,,,3,3,3,16,8,12,16,14,4,0,16,8,12,16,14,14,0
Sword & Shield,Esperanza Sword,210,0,N/A,0,0,,"Speed Sharpening +2,Critical Eye +2",3,2,1,10,12,10,12,8,18,0,10,12,10,12,8,28,0
Sword & Shield,Shrouded Katalo,230,0,N/A,0,15,,"Guard +3,Guard Up +1",3,2,1,12,2,20,18,18,0,0,12,2,20,18,18,10,0
Sword & Shield,Guiding Artorius,220,25,Dragon,0,0,,Guard +3,3,2,1,10,10,16,12,10,12,0,10,10,16,12,10,22,0
Dual Blades,Hope Daggers I,90,0,N/A,0,0,,,0,0,0,10,8,8,14,0,0,0,10,8,8,24,0,0,0
Dual Blades,Hope Daggers II,100,0,N/A,0,0,,Speed Sharpening +1,0,0,0,8,8,8,16,0,0,0,8,8,8,26,0,0,0
Dual Blades,Hope Daggers III,130,0,N/A,0,0,,"Speed Sharpening +1,Critical Eye +1",0,0,0,10,12,8,20,0,0,0,10,12,8,30,0,0,0
Dual Blades,Hope Daggers IV,160,0,N/A,0,0,,"Speed Sharpening +2,Critical Eye +1",2,1,0,10,12,10,14,14,0,0,10,12,10,14,24,0,0
Dual Blades,Hope Daggers V,190,0,N/A,0,0,,"Speed Sharpening +2,Critical Eye +1",3,2,0,10,12,8,14,12,14,0,10,12,8,14,12,24,0
Dual Blades,Bone Hatchets I,110,0,N/A,0,0,,Focus +1,0,0,0,10,12,18,0,0,0,0,10,12,26,2,0,0,0
Dual Blades,Bone Hatchets II,130,0,N/A,0,0,,"Focus +1,Attack Boost +1",0,0,0,10,6,24,0,0,0,0,10,6,28,6,0,0,0
Dual Blades,Bone Hatchets III,170,0,N/A,0,0,,"Focus +2,Attack Boost +1",1,0,0,10,10,20,10,0,0,0,10,10,20,20,0,0,0
Dual Blades,Bone Hatchets IV,200,0,N/A,0,0,,"Focus +3,Attack Boost +1",2,1,0,10,10,16,24,0,0,0,10,10,16,34,0,0,0
Dual Blades,Wild Hatchets,230,0,N/A,0,0,,"Focus +3,Attack Boost +1",3,2,1,10,10,12,14,24,0,0,10,10,12,14,34,0,0
Dual Blades,Dual Hatchets I,120,0,N/A,0,0,,Power Prolonger +1,0,0,0,2,8,18,12,0,0,0,2,8,18,22,0,0,0
Dual Blades,Dual Hatchets II,160,0,N/A,0,0,,Power Prolonger +2,1,0,0,2,12,18,18,0,0,0,2,12,18,28,0,0,0
Dual Blades,Dual Hatchets III,190,0,N/A,0,0,,Power Prolonger +3,2,1,0,2,14,18,12,14,0,0,2,14,18,12,24,0,0
Dual Blades,Dual Cleavers,220,0,N/A,0,0,,Power Prolonger +3,3,2,1,2,12,18,14,10,14,0,2,12,18,14,10,24,0
Dual Blades,Quematrice Silexes I,100,7,Fire,+5,0,,Focus +1,0,0,0,10,14,6,10,0,0,0,10,14,6,20,0,0,0
Dual Blades,Quematrice Silexes II,140,9,Fire,+5,0,,Focus +2,0,0,0,10,16,8,16,0,0,0,10,16,8,26,0,0,0
Dual Blades,Quematrice Silexes III,170,11,Fire,+5,0,,Focus +2,2,1,0,14,16,12,10,8,0,0,14,16,12,10,18,0,0
Dual Blades,Quematrice Silexes IV,210,13,Fire,+5,0,,Focus +3,3,2,0,14,16,12,16,12,0,0,14,16,12,16,22,0,0
Dual Blades,Firetrail Magnesiae,240,15,Fire,+5,0,,Focus +3,3,2,1,12,14,12,16,16,0,0,12,14,12,16,26,0,0
Dual Blades,Barina Faucilles I,100,6,Paralysis,+10,0,,Critical Draw +1,0,0,0,10,6,8,16,0,0,0,10,6,8,26,0,0,0
Dual Blades,Barina Faucilles II,120,8,Paralysis,+10,0,,"Critical Draw +1,Critical Status +1",0,0,0,14,6,6,24,0,0,0,14,6,6,34,0,0,0
Dual Blades,Barina Faucilles III,150,11,Paralysis,+15,0,,"Critical Draw +1,Critical Status +1",2,1,0,14,6,6,20,14,0,0,14,6,6,20,24,0,0
Dual Blades,Barina Faucilles IV,180,13,Paralysis,+15,0,,"Critical Draw +2,Critical Status +1",3,2,0,14,6,6,18,12,14,0,14,6,6,18,12,24,0
Dual Blades,Lala Harpactirs,200,15,Paralysis,+15,0,,"Critical Draw +2,Critical Status +1",3,2,1,14,6,6,12,8,24,0,14,6,6,12,8,34,0
Dual Blades,Pink Maracas I,120,0,N/A,+5,0,,"Punishing Draw +1,Critical Draw +1",0,0,0,10,10,10,10,0,0,0,10,10,10,20,0,0,0
